"word","x","y"
"anger",0.728686547913751,0.206502437757383
"sadness",-0.0765933750878547,0.646687531476971
"happiness",-0.461279495502691,-0.947979227342844
"surprise",0.511162618863417,-0.957571750805793
"disgust",0.453866518170793,0.450646474241621
"fear",0.730405287000791,0.412098083923031
"calmness",-0.954660463356989,-0.234715073573867
"alarm",0.845874652405752,-0.45140167670758
"gloom",-0.0379403422720503,0.765000211442394
"boredom",-0.524872748448415,0.632316380846349
"amazement",0.0343725400472842,-1.05082909794063
"compassion",-0.587990298033663,-0.562999878961824
"joy",-0.243389406084889,-1.12173709189725
"revulsion",0.745847487112807,0.00167144561528004
"fury",0.807056020245653,-0.0347783456602245
"terror",0.764632952178412,0.21613772598071
